GeneSymbol,Description,NormalizedCounts m01 ,NormalizedCounts m02,NormalizedCounts m03,NormalizedCounts m04,NormalizedCounts m05,NormalizedCounts m06,NormalizedCounts m07,NormalizedCounts m08,NormalizedCounts m09,NormalizedCounts m10,NormalizedCounts v01,NormalizedCounts v02,NormalizedCounts v03,NormalizedCounts v04,NormalizedCounts v05,NormalizedCounts v06,NormalizedCounts v07,NormalizedCounts v08,NormalizedCounts v09,NormalizedCounts v10
ABCC11,ATP binding cassette subfamily C member 11,0.00,1.07,6.30,0.00,0.00,0.00,2.45,1.17,0.00,0.00,1.72,2.59,4.10,1.02,0.00,3.48,0.54,0.00,0.00,5.20
ABCC2,ATP binding cassette subfamily C member 2,131.65,133.08,165.64,111.81,138.23,97.71,72.75,117.95,74.92,106.91,146.97,165.13,180.25,173.11,184.27,153.06,90.39,142.65,113.02,140.45
ABCC3,ATP binding cassette subfamily C member 3,5.89,2.15,0.00,2.19,6.45,1.99,4.90,7.01,10.55,2.16,1.72,5.19,2.73,22.54,14.82,9.28,7.04,0.93,8.33,13.87
ABCC4,ATP binding cassette subfamily C member 4,253.47,178.15,230.46,302.54,290.08,253.24,346.60,252.24,293.36,255.93,218.31,192.80,238.97,263.25,248.17,275.97,379.97,232.50,324.79,268.76
ABCC5,ATP binding cassette subfamily C member 5,492.21,489.39,559.04,481.21,539.33,477.56,499.47,529.01,532.90,461.11,501.93,428.83,595.38,489.62,576.90,507.88,589.98,574.30,463.99,551.40
ABCC6,ATP binding cassette subfamily C member 6,40.28,38.64,34.21,32.88,30.80,35.89,26.98,19.85,34.82,44.28,59.30,57.06,40.97,35.85,23.15,46.38,33.56,49.09,29.74,58.95
ABCC8,ATP binding cassette subfamily C member 8,0.00,0.00,3.60,3.29,0.00,0.00,0.00,1.17,0.00,0.00,0.00,0.86,0.00,0.00,2.78,0.00,0.00,0.00,0.00,0.00
ABCC9,ATP binding cassette subfamily C member 9,3465.12,3094.08,3986.20,3006.72,2522.59,2459.59,2076.34,2969.71,2541.02,2356.32,3345.92,2928.30,5169.97,2361.06,2077.02,3125.00,3017.56,3463.41,2522.20,4518.68
ABCD1,ATP binding cassette subfamily D member 1,162.11,147.03,133.23,139.21,133.22,146.56,210.09,184.51,139.29,126.35,161.58,140.93,140.65,135.21,149.09,160.02,155.88,116.71,185.60,124.84
ABCD2,ATP binding cassette subfamily D member 2,676.91,458.26,534.73,826.49,600.21,663.00,753.70,729.87,723.90,714.89,801.03,489.35,648.64,635.08,600.97,823.28,775.64,682.68,706.69,615.55
ABCD3,ATP binding cassette subfamily D member 3,355.65,361.67,385.30,329.94,320.16,332.00,340.88,387.71,426.32,380.12,378.17,330.27,435.61,335.98,368.55,415.12,389.17,357.55,412.83,407.48
ABCD4,ATP binding cassette subfamily D member 4,505.96,514.07,501.43,519.57,532.88,526.41,474.13,586.24,483.30,460.03,474.43,489.35,492.96,491.67,530.60,489.33,513.12,550.22,544.89,612.09
ABCE1,ATP binding cassette subfamily E member 1,1062.04,854.28,975.84,1064.35,937.56,970.08,979.32,1034.67,1068.96,1131.73,1066.60,945.84,1006.41,735.46,1042.67,1038.96,1033.28,1002.25,970.81,1066.38
ABCF1,ATP binding cassette subfamily F member 1,1374.46,1297.52,1225.21,1182.74,1221.19,1239.27,1330.82,1286.91,1181.87,1336.91,1338.19,1250.17,1100.63,1308.06,1234.36,1139.84,1159.39,1226.41,1258.72,1139.21
ABCF2,ATP binding cassette subfamily F member 2,681.82,878.96,680.57,767.30,788.58,714.85,758.60,860.67,762.94,840.16,804.46,812.70,712.82,844.04,852.85,694.57,723.67,789.20,831.61,759.47
ABCF3,ATP binding cassette subfamily F member 3,572.77,502.27,543.74,461.48,607.37,533.39,562.41,574.56,547.67,578.82,538.89,521.34,540.76,654.54,640.79,533.40,530.44,560.41,580.58,556.60
ABCG1,ATP binding cassette subfamily G member 1,64.84,32.20,57.61,36.17,80.93,99.70,276.30,50.22,75.98,96.11,43.83,39.77,38.24,52.24,35.19,84.65,169.96,24.08,55.92,67.62
ABCG2,ATP binding cassette subfamily G member 2 (Junior blood group),3.93,11.81,3.60,4.38,17.19,7.98,36.79,2.34,42.21,28.08,9.45,4.32,4.10,1.02,9.26,9.28,25.98,2.78,51.16,32.95
ABCG4,ATP binding cassette subfamily G member 4,0.00,0.00,2.70,2.19,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.93,1.16,0.00,0.00,0.00,0.00
ABCG5,ATP binding cassette subfamily G member 5,0.98,0.00,0.00,0.00,0.00,1.00,0.82,0.00,0.00,2.16,2.58,0.00,1.37,1.02,0.00,0.00,0.00,0.00,0.00,1.73
ABCG8,ATP binding cassette subfamily G member 8,0.00,1.07,2.70,1.10,2.86,0.00,0.00,1.17,2.11,6.48,2.58,2.59,2.73,0.00,2.78,0.00,3.79,1.85,1.19,6.94
ABHD1,abhydrolase domain containing 1,34.39,30.05,37.81,33.98,56.58,23.93,40.06,38.54,50.65,30.24,21.49,23.34,31.41,33.80,71.30,45.22,57.37,52.80,59.49,19.07
ABHD10,abhydrolase domain containing 10,238.74,265.08,261.07,297.05,272.89,311.06,228.07,314.14,273.31,289.41,277.61,264.56,270.38,256.08,305.58,303.80,301.49,298.27,273.63,211.54
ABHD11,abhydrolase domain containing 11,63.86,81.56,64.82,47.13,64.46,50.85,60.49,60.73,49.60,69.11,61.02,83.00,61.45,93.21,83.34,73.05,70.91,68.55,76.14,57.22
ABHD12,abhydrolase domain containing 12,250.53,233.96,198.95,223.61,248.53,277.17,282.02,240.57,280.69,236.50,236.35,300.87,195.27,304.22,263.91,273.65,270.09,276.04,251.03,235.82
ABHD13,abhydrolase domain containing 13,759.44,584.90,699.48,619.32,512.11,567.29,444.70,517.33,585.66,442.76,831.11,608.66,761.98,419.97,513.00,589.05,564.00,539.10,498.49,587.81
ABHD14A,abhydrolase domain containing 14A,129.68,181.37,143.14,226.90,151.84,145.56,140.60,158.82,144.57,141.47,159.00,178.10,148.84,221.25,184.27,147.26,155.34,171.36,158.23,110.97
ABHD14B,abhydrolase domain containing 14B,892.07,1060.34,784.10,1168.49,1001.30,1024.91,885.31,923.73,766.11,777.52,882.68,1089.36,711.45,1211.77,1051.93,991.42,805.40,790.13,731.68,506.31
ABHD15,abhydrolase domain containing 15,372.35,476.51,323.18,417.63,563.68,493.51,555.87,419.24,461.14,370.40,398.79,451.31,236.24,488.60,623.20,458.02,449.25,430.73,496.11,280.90
ABHD16A,abhydrolase domain containing 16A,387.09,391.72,323.18,328.84,454.81,370.88,618.00,435.59,471.69,480.55,396.22,357.93,348.22,399.48,437.07,353.66,500.13,420.54,443.76,334.65
ABHD16B,abhydrolase domain containing 16B,214.18,160.98,196.25,210.46,188.37,205.38,146.33,182.18,174.12,157.66,191.66,179.83,237.61,265.30,196.31,176.25,141.27,240.84,208.20,162.99
ABHD17A,abhydrolase domain containing 17A,1120.00,1123.66,842.61,915.28,1202.56,1245.25,1231.09,982.12,1101.67,1204.08,1029.65,1151.61,669.12,1266.06,1228.80,998.38,898.50,1053.20,1119.52,703.99
ABHD17B,abhydrolase domain containing 17B,336.00,330.55,314.18,269.65,274.32,312.06,369.49,277.94,306.02,282.93,292.22,330.27,251.26,226.37,262.06,324.68,396.21,280.67,291.48,242.75
ABHD17C,abhydrolase domain containing 17C,21.61,18.24,10.80,17.54,21.49,14.95,10.63,26.86,16.88,17.28,14.61,14.70,8.19,25.61,17.59,11.60,21.11,29.64,23.79,13.87
ABHD2,abhydrolase domain containing 2,1324.35,1030.29,1181.10,1320.85,1297.82,1417.73,1815.58,1446.90,1931.09,1444.89,1288.35,1131.72,1062.40,1106.27,1083.42,1353.20,1635.71,1404.26,1658.46,1740.89
ABHD3,abhydrolase domain containing 3,422.46,359.53,344.79,404.48,479.88,357.92,436.52,488.14,411.54,326.13,495.05,405.48,335.93,388.22,489.85,372.22,520.16,553.92,428.30,383.20
ABHD4,abhydrolase domain containing 4,168.98,141.66,122.43,121.67,186.94,195.41,241.15,181.01,194.16,139.31,142.67,152.16,148.84,127.02,143.53,184.37,171.04,149.13,149.90,119.64
ABHD5,abhydrolase domain containing 5,81.54,65.47,88.22,69.06,74.49,65.80,98.10,51.38,72.81,84.23,48.13,64.84,96.95,50.19,70.38,69.57,90.39,73.18,92.80,65.89
ABHD6,abhydrolase domain containing 6,110.04,104.10,98.12,153.46,108.87,98.70,168.40,151.81,102.36,78.83,104.86,105.48,77.84,112.68,130.57,60.30,129.90,150.06,101.13,58.95
ABHD8,abhydrolase domain containing 8,118.88,153.47,125.13,155.65,151.84,168.49,167.58,135.46,138.24,103.67,128.06,152.16,107.88,175.16,180.57,153.06,99.05,176.92,145.15,83.23
ABI1,abl interactor 1,1318.46,1250.30,1259.42,1451.29,1263.44,1209.36,1298.94,1213.34,1200.87,1313.15,1325.30,1245.85,1208.51,1088.85,1129.72,1288.26,1310.41,1107.85,1217.08,1361.15
ABI2,abl interactor 2,575.72,560.22,810.20,753.05,567.98,551.34,458.59,558.21,551.89,455.71,519.98,591.37,935.40,612.54,606.53,573.98,556.42,622.47,588.91,868.71
ABI3,ABI family member 3,220.07,163.13,110.73,178.67,154.71,333.00,300.01,209.04,224.77,218.14,179.63,166.00,105.15,187.45,162.05,229.59,205.14,201.93,186.79,116.17
ABI3BP,ABI family member 3 binding protein,21.61,17.17,20.71,29.60,34.38,22.93,23.71,22.19,21.10,16.20,26.64,26.80,40.97,24.58,25.93,37.11,33.56,25.94,14.28,48.55
ABL1,"ABL proto-oncogene 1, non-receptor tyrosine kinase",553.12,623.54,631.96,702.63,540.04,684.94,695.66,586.24,646.86,694.37,595.61,628.54,578.99,629.96,569.49,699.21,650.60,616.91,615.08,731.73
ABL2,"ABL proto-oncogene 2, non-receptor tyrosine kinase",809.54,811.35,983.05,783.74,676.84,654.03,534.62,714.69,653.20,671.69,811.34,842.96,1033.72,773.36,613.94,716.60,608.93,781.79,775.69,1113.20
ABLIM1,actin binding LIM protein 1,6077.47,4476.38,7351.24,4576.39,3710.11,3706.84,3256.75,4882.57,4306.45,5141.36,6421.96,4881.37,7678.48,4451.69,4414.24,4068.88,4129.87,5104.81,4686.29,7376.24
ABLIM2,actin binding LIM protein family member 2,29.47,45.08,45.91,65.77,69.48,44.86,18.80,49.05,39.04,30.24,42.11,56.20,57.35,60.43,66.67,57.98,28.69,46.31,39.26,43.35
ABLIM3,actin binding LIM protein family member 3,5.89,3.22,1.80,0.00,2.15,5.98,4.09,1.17,4.22,3.24,1.72,5.19,1.37,6.15,0.93,3.48,1.08,2.78,1.19,1.73
ABR,active BCR-related,1014.88,964.82,1033.46,1218.91,1314.30,1220.33,1211.47,1042.84,1067.91,1059.37,991.83,956.22,975.00,1382.83,1471.41,1207.10,1104.18,1159.72,1215.89,1220.70
ABRA,actin binding Rho activating protein,32.42,11.81,29.71,24.12,27.22,31.90,4.90,9.34,13.72,11.88,33.52,23.34,28.68,31.75,17.59,15.07,15.16,25.94,23.79,50.28
ABRACL,ABRA C-terminal like,407.72,444.31,338.48,370.50,447.65,481.55,703.01,432.09,440.04,439.52,377.31,402.89,301.79,383.10,479.67,448.75,588.36,367.74,423.54,319.05
ABT1,activator of basal transcription 1,500.07,560.22,407.80,515.19,576.57,559.32,600.83,530.18,607.82,522.67,543.19,641.51,413.76,519.33,684.31,522.96,543.97,628.95,516.34,469.90
ABTB1,ankyrin repeat and BTB domain containing 1,524.63,549.49,529.33,507.51,527.15,513.45,512.55,582.73,542.39,519.43,415.12,504.05,581.72,692.44,633.38,532.24,525.03,558.56,604.38,693.58
ABTB2,ankyrin repeat and BTB domain containing 2,90.39,82.64,73.82,146.88,108.87,128.61,226.44,78.24,159.34,241.90,81.65,72.62,86.03,123.94,105.56,97.40,178.08,94.48,138.01,175.13
AC003976.2,NA,37.33,30.05,34.21,36.17,40.11,28.91,52.32,26.86,36.93,25.92,40.40,30.26,31.41,33.80,26.85,59.14,33.56,44.46,26.17,31.21
AC004381.6,NA,16.70,6.44,19.80,23.02,32.95,16.95,41.69,19.85,25.33,22.68,3.44,15.56,6.83,10.24,16.67,25.51,28.69,11.12,20.23,36.41
AC022431.2,NA,1.96,1.07,0.00,2.19,3.58,1.99,0.82,0.00,2.11,4.32,2.58,1.73,6.83,0.00,1.85,1.16,1.62,1.85,1.19,0.00
ACAA1,acetyl-CoA acyltransferase 1,560.98,442.16,567.14,482.30,542.19,520.43,621.27,512.66,543.45,586.38,506.23,469.46,619.96,588.98,593.57,456.86,499.05,470.56,499.68,433.49
ACAA2,acetyl-CoA acyltransferase 2,444.07,383.14,378.99,405.57,498.50,603.18,748.79,433.25,620.48,488.11,365.27,324.21,226.68,344.17,425.03,490.49,602.97,346.43,535.37,241.02
ACACA,acetyl-CoA carboxylase alpha,691.65,587.05,614.85,645.63,491.34,570.28,1066.78,638.79,710.18,833.68,776.10,529.12,580.36,528.55,441.70,611.09,864.94,733.63,590.10,785.48
ACACB,acetyl-CoA carboxylase beta,401.82,759.84,667.07,645.63,707.64,514.45,446.33,655.14,623.65,534.55,483.02,646.70,777.00,816.38,793.58,587.89,489.31,722.51,646.02,785.48
ACAD10,acyl-CoA dehydrogenase family member 10,473.54,465.78,503.23,518.47,471.28,509.47,495.38,578.06,583.55,516.19,521.70,517.01,548.95,639.18,537.08,469.62,521.78,570.60,515.15,690.11
ACAD11,acyl-CoA dehydrogenase family member 11,638.60,609.59,552.74,616.03,536.46,567.29,692.39,602.58,677.47,596.10,772.66,571.48,573.53,687.32,628.75,609.93,738.29,688.24,638.88,620.76
ACAD8,acyl-CoA dehydrogenase family member 8,319.30,282.26,282.67,315.69,270.02,323.03,377.67,366.69,347.17,330.45,318.86,297.41,281.30,331.88,343.55,306.12,317.18,340.88,334.31,294.77
ACAD9,acyl-CoA dehydrogenase family member 9,566.88,516.22,567.14,622.61,497.79,616.14,502.74,604.92,498.07,584.22,544.04,482.43,681.41,617.66,488.93,477.74,518.53,623.40,532.99,698.78
ACADL,acyl-CoA dehydrogenase long chain,0.00,1.07,1.80,0.00,0.72,1.99,0.00,0.00,0.00,0.00,0.00,0.00,1.37,0.00,0.00,0.00,0.00,0.00,0.00,1.73
ACADM,acyl-CoA dehydrogenase medium chain,333.05,292.99,312.38,292.67,329.47,402.79,438.16,386.54,405.21,401.72,318.86,302.60,300.42,249.93,300.02,389.61,451.42,326.06,334.31,293.04
ACADS,acyl-CoA dehydrogenase short chain,170.95,200.69,138.63,135.92,168.32,189.43,245.24,190.35,174.12,242.98,172.75,170.32,129.73,176.18,175.01,155.38,185.11,191.74,166.56,145.65
ACADSB,acyl-CoA dehydrogenase short/branched chain,498.11,504.41,627.46,545.88,486.33,408.77,426.71,536.02,555.06,466.51,481.30,543.82,648.64,495.77,485.22,539.19,565.62,505.76,542.51,593.01
ACADVL,acyl-CoA dehydrogenase very long chain,2208.56,2352.49,1680.72,1954.42,2387.22,2545.34,2632.22,2330.93,2137.92,2238.61,2281.89,2028.29,1517.13,2220.72,2589.09,2244.90,2196.46,2221.25,2179.56,1813.72
ACAN,aggrecan,123.79,65.47,59.41,50.42,49.42,44.86,48.23,57.22,52.76,71.27,109.15,49.28,57.35,33.80,38.89,52.18,37.35,48.17,65.43,93.63
ACAP1,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 1",4740.35,3964.46,3073.37,3305.96,3916.39,4355.88,4448.61,3774.33,3753.50,3880.05,4544.02,3803.25,2925.01,4265.27,4228.11,4007.42,4047.59,3768.17,3877.28,3082.97
ACAP2,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 2",1867.65,1745.05,1890.47,1624.48,1562.83,1751.73,1585.87,1662.95,1601.86,1717.03,1940.68,1839.81,2053.79,1436.10,1463.08,1804.27,1898.76,1594.15,1456.21,1912.55
ACAP3,"ArfGAP with coiled-coil, ankyrin repeat and PH domains 3",391.02,440.02,430.31,416.53,459.82,445.66,418.54,474.13,397.83,458.95,375.59,403.76,465.65,601.28,469.48,409.32,337.75,468.70,418.78,407.48
ACAT1,acetyl-CoA acetyltransferase 1,258.39,257.57,305.18,320.07,278.62,321.03,354.78,263.92,262.76,326.13,283.63,299.14,294.96,258.13,237.98,282.93,273.88,245.47,240.32,263.56
ACAT2,acetyl-CoA acetyltransferase 2,412.63,429.29,449.21,405.57,390.35,413.75,551.78,454.27,481.19,560.46,400.51,446.12,370.06,429.19,359.29,433.67,454.66,416.83,456.85,280.90
ACBD3,acyl-CoA binding domain containing 3,447.02,478.65,435.71,464.76,461.97,472.58,438.16,457.78,443.20,497.83,508.81,452.17,396.01,469.14,459.30,446.43,395.67,415.91,509.20,487.24
ACBD4,acyl-CoA binding domain containing 4,314.39,325.18,269.17,362.82,355.97,284.14,306.55,316.47,261.70,318.57,300.81,359.66,335.93,462.99,404.66,301.48,305.82,348.29,317.65,376.27
ACBD5,acyl-CoA binding domain containing 5,422.46,438.95,352.89,407.76,434.04,454.63,445.51,399.39,463.25,423.32,403.95,434.02,320.90,364.66,400.96,455.70,423.27,414.05,480.65,374.53
ACBD7,acyl-CoA binding domain containing 7,6.88,4.29,0.90,1.10,3.58,2.99,4.90,3.50,6.33,8.64,2.58,1.73,0.00,4.10,8.33,3.48,5.41,3.71,1.19,5.20
ACCS,1-aminocyclopropane-1-carboxylate synthase homolog (inactive),224.00,96.59,248.46,119.48,165.45,194.41,180.66,186.85,134.02,191.14,210.57,92.51,249.90,185.40,146.31,192.49,165.09,197.30,116.59,169.93
